locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBNEHJNM_00108	CDS	465	ctsR		COG4463	Transcriptional regulator CtsR
MBNEHJNM_00109	CDS	381	mcsA		COG3880	Protein-arginine kinase activator protein
MBNEHJNM_00110	CDS	1092	mcsB	2.7.14.1	COG3869	Protein-arginine kinase
MBNEHJNM_00111	CDS	2433	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
MBNEHJNM_00112	CDS	1380	radA	3.6.4.-	COG1066	DNA repair protein RadA
MBNEHJNM_00113	CDS	1083	disA	2.7.7.85	COG1623	DNA integrity scanning protein DisA
MBNEHJNM_00114	CDS	1101	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
MBNEHJNM_00115	CDS	699	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
MBNEHJNM_00116	CDS	477	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
MBNEHJNM_00117	CDS	1452	gltX	6.1.1.17		Glutamate--tRNA ligase
MBNEHJNM_00118	CDS	654	cysE	2.3.1.30	COG1045	Serine acetyltransferase
MBNEHJNM_00119	CDS	1401	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
MBNEHJNM_00120	CDS	432	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
MBNEHJNM_00121	CDS	750		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
MBNEHJNM_00122	CDS	513	yacP		COG3688	putative protein YacP
MBNEHJNM_00123	CDS	657	sigH		COG1595	RNA polymerase sigma-H factor
MBNEHJNM_00124	CDS	180	secE			Protein translocase subunit SecE
MBNEHJNM_00125	CDS	591	nusG_1		COG0250	Transcription termination/antitermination protein NusG
MBNEHJNM_00126	CDS	426	rplK		COG0080	50S ribosomal protein L11
MBNEHJNM_00127	CDS	699	rplA		COG0081	50S ribosomal protein L1
MBNEHJNM_00128	CDS	501	rplJ		COG0244	50S ribosomal protein L10
MBNEHJNM_00129	CDS	372	rplL		COG0222	50S ribosomal protein L7/L12
MBNEHJNM_00130	CDS	606	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
MBNEHJNM_00131	CDS	3582	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
MBNEHJNM_00132	CDS	3600	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
MBNEHJNM_00133	CDS	249	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
MBNEHJNM_00134	CDS	417	rpsL		COG0048	30S ribosomal protein S12
MBNEHJNM_00135	CDS	471	rpsG		COG0049	30S ribosomal protein S7
MBNEHJNM_00136	CDS	2079	fusA		COG0480	Elongation factor G
MBNEHJNM_00137	CDS	1191	tuf		COG0050	Elongation factor Tu
MBNEHJNM_00138	CDS	966	pip	3.4.11.5		Proline iminopeptidase
MBNEHJNM_00139	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
MBNEHJNM_00140	CDS	630	rplC		COG0087	50S ribosomal protein L3
MBNEHJNM_00141	CDS	624	rplD		COG0088	50S ribosomal protein L4
MBNEHJNM_00142	CDS	288	rplW		COG0089	50S ribosomal protein L23
MBNEHJNM_00143	CDS	834	rplB		COG0090	50S ribosomal protein L2
MBNEHJNM_00144	CDS	279	rpsS		COG0185	30S ribosomal protein S19
MBNEHJNM_00145	CDS	342	rplV		COG0091	50S ribosomal protein L22
MBNEHJNM_00146	CDS	657	rpsC		COG0092	30S ribosomal protein S3
MBNEHJNM_00147	CDS	435	rplP		COG0197	50S ribosomal protein L16
MBNEHJNM_00148	CDS	201	rpmC		COG0255	50S ribosomal protein L29
MBNEHJNM_00149	CDS	264	rpsQ		COG0186	30S ribosomal protein S17
MBNEHJNM_00150	CDS	369	rplN		COG0093	50S ribosomal protein L14
MBNEHJNM_00151	CDS	312	rplX		COG0198	50S ribosomal protein L24
MBNEHJNM_00152	CDS	540	rplE		COG0094	50S ribosomal protein L5
MBNEHJNM_00153	CDS	186	rpsN1		COG0199	30S ribosomal protein S14
MBNEHJNM_00154	CDS	399	rpsH		COG0096	30S ribosomal protein S8
MBNEHJNM_00155	CDS	540	rplF		COG0097	50S ribosomal protein L6
MBNEHJNM_00156	CDS	363	rplR		COG0256	50S ribosomal protein L18
MBNEHJNM_00157	CDS	507	rpsE		COG0098	30S ribosomal protein S5
MBNEHJNM_00158	CDS	180	rpmD		COG1841	50S ribosomal protein L30
MBNEHJNM_00159	CDS	441	rplO		COG0200	50S ribosomal protein L15
MBNEHJNM_00160	CDS	1296	secY			Protein translocase subunit SecY
MBNEHJNM_00161	CDS	654	adk	2.7.4.3	COG0563	Adenylate kinase
MBNEHJNM_00162	CDS	747	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
MBNEHJNM_00163	CDS	219	infA		COG0361	Translation initiation factor IF-1
MBNEHJNM_00164	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
MBNEHJNM_00165	CDS	366	rpsM		COG0099	30S ribosomal protein S13
MBNEHJNM_00166	CDS	396	rpsK		COG0100	30S ribosomal protein S11
MBNEHJNM_00167	CDS	945	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
MBNEHJNM_00168	CDS	363	rplQ		COG0203	50S ribosomal protein L17
MBNEHJNM_00169	CDS	846	ecfA1	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA1
MBNEHJNM_00170	CDS	870	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
MBNEHJNM_00171	CDS	798	ecfT		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
MBNEHJNM_00172	CDS	744	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MBNEHJNM_00173	CDS	438	rplM		COG0102	50S ribosomal protein L13
MBNEHJNM_00174	CDS	393	rpsI		COG0103	30S ribosomal protein S9
MBNEHJNM_00175	CDS	768				hypothetical protein
MBNEHJNM_00176	CDS	474	yizA		COG2318	putative protein YizA
MBNEHJNM_00177	CDS	444				hypothetical protein
MBNEHJNM_00178	CDS	714	cwlD	3.5.1.28	COG0860	Germination-specific N-acetylmuramoyl-L-alanine amidase
MBNEHJNM_00179	CDS	1053	salA		COG0489	Iron-sulfur cluster carrier protein
MBNEHJNM_00180	CDS	558	gerD			Spore germination protein GerD
MBNEHJNM_00181	CDS	597				hypothetical protein
MBNEHJNM_00182	CDS	765	pgdA_1	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
MBNEHJNM_00183	rRNA	1547				16S ribosomal RNA
MBNEHJNM_00184	rRNA	2926				23S ribosomal RNA
MBNEHJNM_00185	rRNA	111				5S ribosomal RNA
MBNEHJNM_00186	tRNA	75				tRNA-Asn(gtt)
MBNEHJNM_00187	tRNA	73				tRNA-Thr(ggt)
MBNEHJNM_00188	tRNA	75				tRNA-Gly(gcc)
MBNEHJNM_00189	tRNA	77				tRNA-Arg(acg)
MBNEHJNM_00190	tRNA	77				tRNA-Pro(tgg)
MBNEHJNM_00191	tRNA	74				tRNA-Ala(tgc)
MBNEHJNM_00192	tRNA	77				tRNA-Met(cat)
MBNEHJNM_00193	rRNA	602				16S ribosomal RNA (partial)
MBNEHJNM_00194	tRNA	77				tRNA-Ile(gat)
MBNEHJNM_00195	tRNA	76				tRNA-Ala(tgc)
MBNEHJNM_00196	rRNA	2926				23S ribosomal RNA
MBNEHJNM_00197	rRNA	111				5S ribosomal RNA
MBNEHJNM_00198	rRNA	1547				16S ribosomal RNA
MBNEHJNM_00199	rRNA	2926				23S ribosomal RNA
MBNEHJNM_00200	rRNA	111				5S ribosomal RNA
MBNEHJNM_00201	CDS	1212	glcP		COG0738	Glucose/mannose transporter GlcP
MBNEHJNM_00202	CDS	1269	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde transaminase
MBNEHJNM_00203	CDS	951				hypothetical protein
MBNEHJNM_00204	CDS	1047	gutB_1	1.1.1.14	COG1063	Sorbitol dehydrogenase
MBNEHJNM_00205	CDS	1434	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
MBNEHJNM_00206	CDS	984	panS_1		COG0385	Pantothenate precursors transporter PanS
MBNEHJNM_00207	CDS	753	ybbA_1		COG2819	putative protein YbbA
MBNEHJNM_00208	CDS	1023	feuC_1		COG0609	Iron-uptake system permease protein FeuC
MBNEHJNM_00209	CDS	1008	feuB_1		COG0609	Iron-uptake system permease protein FeuB
MBNEHJNM_00210	CDS	957	feuA		COG0614	Iron-uptake system-binding protein
MBNEHJNM_00211	CDS	1596	btr_1		COG0614	HTH-type transcriptional activator Btr
MBNEHJNM_00212	CDS	1245				hypothetical protein
MBNEHJNM_00213	CDS	1914	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
MBNEHJNM_00214	CDS	1284	flp			Protein flp
MBNEHJNM_00215	CDS	1368				PTS system EIIBC component
MBNEHJNM_00216	CDS	930	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
MBNEHJNM_00217	CDS	477				hypothetical protein
MBNEHJNM_00218	CDS	453				hypothetical protein
MBNEHJNM_00219	tRNA	72				tRNA-Glu(ttc)
MBNEHJNM_00220	tRNA	76				tRNA-Val(tac)
MBNEHJNM_00221	tRNA	74				tRNA-Thr(tgt)
MBNEHJNM_00222	tRNA	85				tRNA-Tyr(gta)
MBNEHJNM_00223	tRNA	75				tRNA-Gln(ttg)
MBNEHJNM_00224	CDS	564	sigW		COG1595	ECF RNA polymerase sigma factor SigW
MBNEHJNM_00225	CDS	627	rsiW		COG5662	Anti-sigma-W factor RsiW
MBNEHJNM_00226	CDS	822	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
MBNEHJNM_00227	CDS	1440	cdaR_1		COG4856	CdaA regulatory protein CdaR
MBNEHJNM_00228	CDS	1347	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
MBNEHJNM_00229	CDS	1803	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
MBNEHJNM_00230	CDS	873	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
MBNEHJNM_00231	CDS	654				hypothetical protein
MBNEHJNM_00232	CDS	264				hypothetical protein
MBNEHJNM_00233	CDS	279				hypothetical protein
MBNEHJNM_00234	CDS	684	graR_1		COG0745	Response regulator protein GraR
MBNEHJNM_00235	CDS	1023	graS_1	2.7.13.3	COG0642	Sensor histidine kinase GraS
MBNEHJNM_00236	CDS	765	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
MBNEHJNM_00237	CDS	1929	bceB_1		COG0577	Bacitracin export permease protein BceB
MBNEHJNM_00238	CDS	285				hypothetical protein
MBNEHJNM_00239	CDS	846	dkgB	1.1.1.274		2,5-diketo-D-gluconic acid reductase B
MBNEHJNM_00240	CDS	693	cidB		COG1346	Holin-like protein CidB
MBNEHJNM_00241	CDS	498	cidA		COG1380	Holin-like protein CidA
MBNEHJNM_00242	CDS	432				hypothetical protein
MBNEHJNM_00243	CDS	1386	yifK		COG1113	putative transport protein YifK
MBNEHJNM_00244	CDS	471	yfnB_1	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
MBNEHJNM_00245	CDS	246	yfnB_2	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
MBNEHJNM_00246	CDS	1131	liaS_1	2.7.13.3	COG4585	Sensor histidine kinase LiaS
MBNEHJNM_00247	CDS	645	degU_1		COG2197	Transcriptional regulatory protein DegU
MBNEHJNM_00248	CDS	936	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
MBNEHJNM_00249	CDS	1188				hypothetical protein
MBNEHJNM_00250	CDS	1143				hypothetical protein
MBNEHJNM_00251	CDS	180				hypothetical protein
MBNEHJNM_00252	CDS	477	yolA			SPBc2 prophage-derived uncharacterized protein YolA
MBNEHJNM_00253	CDS	252				hypothetical protein
MBNEHJNM_00254	CDS	699				hypothetical protein
MBNEHJNM_00255	CDS	261				hypothetical protein
MBNEHJNM_00256	CDS	1638	yveA_1		COG0531	Aspartate-proton symporter
MBNEHJNM_00257	CDS	99				hypothetical protein
MBNEHJNM_00258	CDS	1203				hypothetical protein
MBNEHJNM_00259	CDS	249				hypothetical protein
MBNEHJNM_00260	CDS	888	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
MBNEHJNM_00261	CDS	1335	glpT		COG2271	Glycerol-3-phosphate transporter
MBNEHJNM_00262	CDS	243				hypothetical protein
MBNEHJNM_00263	CDS	1449		1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
MBNEHJNM_00264	CDS	426				hypothetical protein
MBNEHJNM_00265	CDS	2175	fadG_1		COG3409	putative protein FadG
MBNEHJNM_00266	CDS	444				hypothetical protein
MBNEHJNM_00267	CDS	471				hypothetical protein
MBNEHJNM_00268	CDS	1071	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
MBNEHJNM_00269	CDS	1155	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
MBNEHJNM_00270	CDS	534	pgsA_1	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MBNEHJNM_00271	CDS	489	dedA_1		COG0586	Protein DedA
MBNEHJNM_00272	CDS	816	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
MBNEHJNM_00273	CDS	276				hypothetical protein
MBNEHJNM_00274	CDS	969				hypothetical protein
MBNEHJNM_00275	CDS	1251	gltP		COG1301	Proton/glutamate-aspartate symporter
MBNEHJNM_00276	CDS	1068	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid transaminase 1
MBNEHJNM_00277	CDS	1464	rocC_1		COG0833	Amino-acid permease RocC
MBNEHJNM_00278	CDS	948	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
MBNEHJNM_00279	CDS	1437	alsT_1		COG1115	Amino-acid carrier protein AlsT
MBNEHJNM_00280	CDS	984	glsA1	3.5.1.2	COG2066	Glutaminase 1
MBNEHJNM_00281	CDS	1293	glnK	2.7.13.3	COG0642	Sensor histidine kinase GlnK
MBNEHJNM_00282	CDS	948	spo0A_1		COG0784	Stage 0 sporulation protein A
MBNEHJNM_00283	CDS	165	rtpA			Tryptophan RNA-binding attenuator protein inhibitory protein
MBNEHJNM_00284	CDS	894	czcD_1		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
MBNEHJNM_00285	CDS	621	mhqN	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase MhqN
MBNEHJNM_00286	CDS	939	mhqO	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqO
MBNEHJNM_00287	CDS	390	mhqP	1.-.-.-	COG2259	Putative oxidoreductase MhqP
MBNEHJNM_00288	CDS	339				hypothetical protein
MBNEHJNM_00289	CDS	384				hypothetical protein
MBNEHJNM_00290	CDS	429	cwlJ		COG3773	Cell wall hydrolase CwlJ
MBNEHJNM_00291	CDS	1752	phoD	3.1.3.1	COG3540	Alkaline phosphatase D
MBNEHJNM_00292	CDS	198	tatAd			Sec-independent protein translocase protein TatAd
MBNEHJNM_00293	CDS	726	tatC1		COG0805	Sec-independent protein translocase protein TatCd
MBNEHJNM_00294	CDS	648	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
MBNEHJNM_00295	CDS	1128	csd	2.8.1.7		putative cysteine desulfurase
MBNEHJNM_00296	CDS	1434	emrB_1			Multidrug export protein EmrB
MBNEHJNM_00297	CDS	567	yxaF_1			putative HTH-type transcriptional regulator YxaF
MBNEHJNM_00298	CDS	1116	ansZ	3.5.1.1	COG0252	L-asparaginase 2
MBNEHJNM_00299	CDS	645	estA	3.1.1.3		Lipase EstA
MBNEHJNM_00300	CDS	1071				hypothetical protein
MBNEHJNM_00301	CDS	933	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
MBNEHJNM_00302	CDS	996	ycdA			putative lipoprotein YcdA
MBNEHJNM_00303	CDS	1401				hypothetical protein
MBNEHJNM_00304	CDS	1359				hypothetical protein
MBNEHJNM_00305	CDS	504	cwlK	3.4.-.-		Peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK
MBNEHJNM_00306	CDS	1122	rapJ	3.1.-.-		Response regulator aspartate phosphatase J
MBNEHJNM_00307	CDS	780	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
MBNEHJNM_00308	CDS	1680	ycdG	3.2.1.10	COG0366	putative oligo-1,6-glucosidase 2
MBNEHJNM_00309	CDS	1005	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
MBNEHJNM_00310	CDS	696	znuC	3.6.3.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
MBNEHJNM_00311	CDS	834	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
MBNEHJNM_00312	CDS	996	luxA_1	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
MBNEHJNM_00313	CDS	597	yceC		COG2310	Stress response protein SCP2
MBNEHJNM_00314	CDS	582	yceD_1		COG2310	General stress protein 16U
MBNEHJNM_00315	CDS	579	yceD_2		COG2310	General stress protein 16U
MBNEHJNM_00316	CDS	774	alx		COG0861	Putative membrane-bound redox modulator Alx
MBNEHJNM_00317	CDS	1623				hypothetical protein
MBNEHJNM_00318	CDS	1089				TelA-like protein
MBNEHJNM_00319	CDS	1203	naiP			Putative niacin/nicotinamide transporter NaiP
MBNEHJNM_00320	CDS	1257	opuAA	3.6.3.32	COG4175	Glycine betaine transport ATP-binding protein OpuAA
MBNEHJNM_00321	CDS	849	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
MBNEHJNM_00322	CDS	882	opuAC		COG2113	Glycine betaine-binding protein OpuAC
MBNEHJNM_00323	CDS	1122	yxeP_1	3.-.-.-	COG1473	putative hydrolase YxeP
MBNEHJNM_00324	CDS	1434				hypothetical protein
MBNEHJNM_00325	CDS	489				hypothetical protein
MBNEHJNM_00326	CDS	1980	amyE	3.2.1.1		Alpha-amylase
MBNEHJNM_00327	CDS	954	ldh_1	1.1.1.27	COG0039	L-lactate dehydrogenase
MBNEHJNM_00328	CDS	1533	bmr3_1			Multidrug resistance protein 3
MBNEHJNM_00329	CDS	462	mhqR_1		COG1846	HTH-type transcriptional regulator MhqR
MBNEHJNM_00330	CDS	630				hypothetical protein
MBNEHJNM_00331	CDS	762				hypothetical protein
MBNEHJNM_00332	CDS	1329	aroP		COG1113	Aromatic amino acid transport protein AroP
MBNEHJNM_00333	CDS	597				hypothetical protein
MBNEHJNM_00334	CDS	819	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
MBNEHJNM_00335	CDS	285				Antimicrobial peptide LCI
MBNEHJNM_00336	CDS	594	tmrB			Tunicamycin resistance protein
MBNEHJNM_00337	CDS	789	asbF	4.2.1.118		3-dehydroshikimate dehydratase
